label,cluster_no
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
rice,7
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
maize,0
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
chickpea,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
kidneybeans,5
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,3
pigeonpeas,4
